title,author,text,difficulty
“The People Could Fly.”,"Hamilton, Virginia",b078_ThePeopleCouldFly.txt,4
The Tale of the Mandarin Ducks,"Paterson, Katherine",b079_TheTaleoftheMandarinDucks.txt,4
“Eleven.”,"Cisneros, Sandra",b080_Eleven.txt,4
Black Ships Before Troy: The Story of the Iliad,"Sutcliff, Rosemary",b081_BlackShipsBeforeTroy.txt,4
“Letter on Thomas Jefferson.”,"Adams, John",b082_LetteronThomasJefferson.txt,4
"Narrative of the Life of Frederick Douglass an American Slave, Written by Himself","Douglass, Frederick",b083_NarrativeFrederickDouglass.txt,4
"“Blood, Toil, Tears and Sweat: Address to Parliament on May 13th, 1940.”","Churchill, Winston",b084_BloodToilTearsandSweat.txt,4
Harriet Tubman: Conductor on the Underground Railroad,"Petry, Ann",b085_HarrietTubman.txt,4
Travels with Charley: In Search of America,"Steinbeck, John",b086_TravelswithCharley.txt,4
"Preamble and First Amendment to the United States Constitution. (1787, 1791)",United States,b087_PreambleandFirstAmendment.txt,4
A Night to Remember,"Lord, Walter",b088_ANighttoRemember.txt,4
A Short Walk through the Pyramids and through the World of Art,"Isaacson, Phillip",b089_AShortWalkthroughthePyramids.txt,4
The Great Fire,"Murphy, Jim",b090_TheGreatFire.txt,4
Vincent Van Gogh: Portrait of an Artist,"Greenberg, Jan, and Sandra Jordan",b091_VincentVanGoghPortraitofanArtist.txt,4
This Land Was Made for You and Me: The Life and Songs of Woody Guthrie,"Partridge, Elizabeth",b092_ThisLandWasMadeforYou.txt,4
Words We Live By: Your Annotated Guide to the Constitution,"Monk, Linda R",b093_WordsWeLiveBy.txt,4
Freedom Walkers: The Story of the Montgomery Bus Boycott,"Freedman, Russell",b094_FreedomWalkers.txt,4
Cathedral: The Story of Its Construction,"Macaulay, David",b095_CathedralTheStoryofItsConstruction.txt,4
The Building of Manhattan,"Mackay, Donald",b096_TheBuildingofManhattan.txt,4
The Number Devil: A Mathematical Adventure,"Enzensberger, Hans Magnus",b097_TheNumberDevilAMathematicalAdventure.txt,4
Math Trek: Adventures in the Math Zone,"Peterson, Ivars and Nancy Henderson",b098_MathTrekAdventuresintheMathone.txt,4
Geeks: How Two Lost Boys Rode the Internet out of Idaho,"Katz, John",b099_GeeksHowTwoLostBoysRodetheInternetoutofIdaho.txt,4
“The Evolution of the Grocery Bag.”,"Petroski, Henry",b100_TheEvolutionoftheGroceryBag.txt,4
U*X*L Encyclopedia of Science,"“Geology""",b101_UXLEncyclopediaofScience.txt,4
Astronomy & Space: From the Big Bang to the Big Crunch,"“Space Probe""",b102_AstronomySpaceFromtheBigBangtotheBigCrunch.txt,4
Invasive Plant Inventory,California Invasive Plant Council,b104_InvasivePlantInventory.txt,4
The Odyssey,Homer,b105_TheOdyssey.txt,5
Metamorphoses,Ovid,b106_Metamorphoses.txt,5
“The Nose.”,"Gogol, Nikolai",b107_TheNose.txt,5
"A. M. Candide, Or The Optimist","De Voltaire, F",b108_AMCandideOrTheOptimist.txt,5
Fathers and Sons,"Turgenev, Ivan",b109_FathersandSons.txt,5
“The Gift of the Magi.”,"Henry, O",b110_TheGiftoftheMagi.txt,5
The Metamorphosis,"Kafka, Franz",b111_TheMetamorphosis.txt,5
The Grapes of Wrath,"Steinbeck, John",b112_TheGrapesofWrath.txt,5
Fahrenheit 451,"Bradbury, Ray",b113_Fahrenheit.txt,5
“I Stand Here Ironing.”,"Olsen, Tillie",b114_IStandHereIroning.txt,5
Things Fall Apart,"Achebe, Chinua",b115_ThingsFallApart.txt,5
To Kill A Mockingbird,"Lee, Harper",b116_ToKillAMockingbird.txt,5
The Killer Angels,"Shaara, Michael",b117_TheKillerAngels.txt,5
The Joy Luck Club,"Tan, Amy",b118_TheJoyLuckClub.txt,5
In the Time of the Butterflies,"Álvarez, Julia",b119_IntheTimeoftheButterflies.txt,5
The Book Thief,"Zusak, Marcus",b120_TheBookThief.txt,5
“Speech to the Second Virginia Convention.”,"Henry, Patrick",b121_SpeechtotheSecondVirginiaConvention.txt,5
“Farewell Address.”,"Washington, George",b122_FarewellAddress.txt,5
“Gettysburg Address.”,"Lincoln, Abraham",b123_GettysburgAddress.txt,5
“Second Inaugural Address.”,"Lincoln, Abraham",b124_SecondInauguralAddress.txt,5
“State of the Union Address.”,"Roosevelt, Franklin Delano",b125_StateoftheUnionAddress.txt,5
“I Am an American Day Address.”,"Hand, Learned",b126_IAmanAmericanDayAddress.txt,5
“Remarks to the Senate in Support of a Declaration of Conscience.”,"Smith, Margaret Chase",b127_RemarkstotheSenatein.txt,5
“Letter from Birmingham Jail.”,"Martin Luther King, Jr  ",b128_LetterfromBirminghamJail.txt,5
" “I Have a Dream: Address Delivered at the March on Washington, D.C., for Civil Rights on August 28, 1963.”","Martin Luther King, Jr",b129_IHaveaDreamAddress.txt,5
I Know Why the Caged Bird Sings,"Angelou, Maya",b130_IKnowWhytheCagedBirdSings.txt,5
"“Hope, Despair and Memory.”","Wiesel, Elie",b131_HopeDespairandMemory.txt,5
“Address to Students at Moscow State University.”,"Reagan, Ronald",b132_AddresstoStudents.txt,5
“A Quilt of a Country.”,"Quindlen, Anna",b133_AQuiltofaCountry.txt,5
Bury My Heart at Wounded Knee: An Indian History of the American West,"Brown, Dee",b134_BuryMyHeartatWoundedKnee.txt,5
Son of the Morning Star: Custer and the Little Bighorn,"Connell, Evan S",b135_SonoftheMorningStar.txt,5
"The Story of Art, 16th Edition","Gombrich, E.H. ",b136_TheStoryofArtthEdition.txt,5
Cod: A Biography of the Fish That Changed the World,"Kurlansky, Mark",b137_CodABiographyoftheFishThatChangedtheWorld.txt,5
"Black, Blue and Gray: African Americans in the Civil War","Haskins, Jim",b138_BlackBlue.txt,5
The Longitude Prize,"Dash, Joan",b139_TheLongitudePrie.txt,5
The Illustrated Book of Great Composers,"Thompson, Wendy",b140_TheIllustratedBook.txt,5
Before Columbus: The Americas of 1491,"Mann, Charles C",b141_BeforeColumbus.txt,5
Elements,Euclid,b142_Elements.txt,5
“Classifying the Stars.”,"Cannon, Annie J",b143_ClassifyingtheStars.txt,5
“Amusement Park Physics.”,"Walker, Jearl",b144_AmusementParkPhysics.txt,5
The Hot Zone: A Terrifying True Story,"Preston, Richard",b145_TheHotoneATerrifyingTrueStory.txt,5
Life by the Numbers,"Devlin, Keith",b146_LifebytheNumbers.txt,5
The Race to Save Lord God Bird,"Hoose, Phillip",b147_TheRacetoSaveLordGodBird.txt,5
The Story of Science: Newton at the Center,"Hakim, Joy",b148_TheStoryofScienceNewtonattheCenter.txt,5
Circumference: Eratosthenes and the Ancient Quest to Measure the Globe,"Nicastro, Nicholas",b149_Circumference.txt,5
The Canterbury Tales,"Chaucer, Geoffrey",b151_TheCanterburyTales.txt,6
Don Quixote,"de Cervantes, Miguel",b152_DonQuixote.txt,6
Pride and Prejudice,"Austen, Jane",b153_PrideandPrejudice.txt,6
“The Cask of Amontillado.”,"Poe, Edgar Allan",b154_TheCaskofAmontillado.txt,6
Jane Eyre,"Brontë, Charlotte",b155_JaneEyre.txt,6
The Scarlet Letter,"Hawthorne, Nathaniel",b156_TheScarletLetter.txt,6
Crime and Punishment,"Dostoevsky, Fyodor",b157_CrimeandPunishment.txt,6
“A White Heron.”,"Jewett, Sarah Orne",b158_AWhiteHeron.txt,6
"Billy Budd, Sailor","Melville, Herman",b159_BillyBuddSailor.txt,6
“Home.”,"Chekhov, Anton",b160_Home.txt,6
The Great Gatsby,"Fitzgerald, F. Scott. ",b161_TheGreatGatsby.txt,6
As I Lay Dying,"Faulkner, William",b162_AsILayDying.txt,6
A Farewell to,"Hemingway, Ernest",b163_AFarewellto.txt,6
Their Eyes Were Watching God,"Hurston, Zora Neale",b164_TheirEyesWereWatchingGod.txt,6
“The Garden of Forking Paths.”,"Borges, Jorge Luis",b165_TheGardenofForkingPaths.txt,6
The Adventures of Augie March,"Bellow, Saul",b166_TheAdventuresofAugieMarch.txt,6
The Bluest Eye,"Morrison, Toni",b167_TheBluestEye.txt,6
Dreaming in Cuban,"Garcia, Cristina",b168_DreaminginCuban.txt,6
The Namesake,"Lahiri, Jhumpa",b169_TheNamesake.txt,6
Common Sense,"Paine, Thomas",b170_CommonSense.txt,6
The Declaration of Independence,"Jefferson, Thomas",b171_TheDeclarationofIndependence.txt,6
The Bill of Rights (Amendments One through Ten of the United States Constitution).,United States,b172_TheBillofRights.txt,6
Walden,"Thoreau, Henry David",b173_Walden.txt,6
“Society and Solitude.”,"Emerson, Ralph Waldo",b174_SocietyandSolitude.txt,6
"“Lee Surrenders to Grant, April 9th, 1865.”","Porter, Horace",b175_LeeSurrenderstoGrantAprilth.txt,6
“The Fallacy of Success.”,"Chesterton, G. K.",b176_TheFallacyofSuccess.txt,6
"The American Language, 4th Edition","Mencken, H. L. ",b177_TheAmericanLanguagethEdition.txt,6
Black Boy,"Wright, Richard",b178_BlackBoy.txt,6
“Politics and the English Language.”,"Orwell, George",b179_PoliticsandtheEnglishLanguage.txt,6
“Abraham Lincoln and the Self-Made Myth.”,"Hofstadter, Richard",b180_AbrahamLincolnandtheSelfMadeMyth.txt,6
“Mother Tongue.”,"Tan, Amy",b181_MotherTongue.txt,6
“Take the Tortillas Out of Your Poetry.”,"Anaya, Rudolfo",b182_TaketheTortillasOutofYourPoetry.txt,6
Democracy in America,"Tocqueville, Alexis de",b183_DemocracyinAmerica.txt,6
Declaration of Sentiments by the Seneca Falls Conference,MISSING,b184_DeclarationofSentimentsbytheSenecaFallsConference.txt,6
"“What to the Slave Is the Fourth of July?: An Address Delivered in Rochester, New York, on 5 July 1852.”","Douglass, Frederick",b185_WhattotheSlaveIstheFourthofJulyAnAddressDeliveredinRochesterNewYorkonJuly.txt,6
Edited by Daniel J. Boorstin,An American Primer,b186_EditedbyDanielJBoorstin.txt,6
“Education.”,"Lagemann, Ellen Condliffe",b187_Education.txt,6
What They Fought For 1861–1865,"McPherson, James M",b188_WhatTheyFoughtFor.txt,6
"The American Reader: Words that Moved a Nation, 2nd Edition",MISSING,b189_TheAmericanReaderWordsthatMovedaNationndEdition.txt,6
America’s Constitution: A Biography,"Amar, Akhil Reed",b190_AmericasConstitutionABiography.txt,6
1776,"McCullough, David",b191_1776.txt,6
Mirror of the World: A New History of Art,"Bell, Julian",b192_MirroroftheWorldANewHistoryofArt.txt,6
FedViews by the Federal Reserve Bank of San Francisco,MISSING,b193_FedViewsbytheFederalReserveBankofSanFrancisco.txt,6
Innumeracy: Mathematical Illiteracy and Its Consequences,"Paulos, John Allen",b194_InnumeracyMathematicalIlliteracyandItsConsequences.txt,6
The Tipping Point: How Little Things Can Make a Big Difference,"Gladwell, Malcolm",b195_TheTippingPointHowLittleThingsCanMakeaBigDifference.txt,6
“Gravity in Reverse: The Tale of Albert Einstein’s ‘Greatest Blunder.’”,"Tyson, Neil deGrasse",b196_GravityinReverseTheTaleofAlbertEinsteinsGreatestBlunder.txt,6
"Google Hacks: Tips & Tools for Smarter Searching, 2nd Edition","Calishain, Tara, and Rael Dornfest",b197_GoogleHacksTipsToolsforSmarterSearchingndEdition.txt,6
“The Mysteries of Mass.”,"Kane, Gordon",b198_TheMysteriesofMass.txt,6
“Working Knowledge: Electronic Stability Control.”,"Fischetti, Mark",b199_WorkingKnowledgeElectronicStabilityControl.txt,6
“The Coming Merger of Mind and Machine.”,"Kurzweil, Ray",b201_TheComingMergerofMindandMachine.txt,6
“Untangling the Roots of Cancer.”,"Gibbs, W Wayt",b202_UntanglingtheRootsofCancer.txt,6
"“The Cost Conundrum: Health Care Costs in McAllen, Texas.”","Gawande, Atul",b203_TheCostConundrumHealthCareCostsinMcAllenTexas.txt,6
